Node2 Y-coordinate,Packets dropped
300.5, 78
301, 29
301.5, 75
302, 75
302.5, 57
303, 30
303.5, 80
304, 91
304.5, 65
305, 60
305.5, 86
306, 79
306.5, 69
307, 97
307.5, 81
308, 78
308.5, 94
309, 69
309.5, 65
310, 87
310.5, 77
311, 66
311.5, 80
312, 92
312.5, 79
313, 94
313.5, 73
314, 82
314.5, 87
315, 92
315.5, 93
316, 97
316.5, 88
317, 89
317.5, 66
318, 73
318.5, 79
319, 83
319.5, 71
320, 88
320.5, 82
321, 80
321.5, 89
322, 84
322.5, 96
323, 86
323.5, 75
324, 85
324.5, 96
325, 90
325.5, 82
326, 94
326.5, 76
327, 85
327.5, 93
328, 61
328.5, 72
329, 94
329.5, 79
330, 80
330.5, 81
331, 179
331.5, 81
332, 76
332.5, 84
333, 103
333.5, 85
334, 89
334.5, 118
335, 88
335.5, 110
336, 122
336.5, 110
337, 107
337.5, 89
338, 120
338.5, 118
339, 134
339.5, 110
340, 126
340.5, 112
341, 144
341.5, 169
342, 150
342.5, 179
343, 172
343.5, 164
344, 190
344.5, 170
345, 219
345.5, 227
346, 237
346.5, 212
347, 244
347.5, 262
348, 246
348.5, 259
349, 246
349.5, 257
350, 271
350.5, 238
351, 260
351.5, 272
352, 274
352.5, 290
353, 296
353.5, 272
354, 298
354.5, 293
355, 319
355.5, 311
356, 289
356.5, 302
357, 314
357.5, 312
358, 316
358.5, 319
359, 311
359.5, 318
360, 316
360.5, 306
361, 317
361.5, 328
362, 330
362.5, 331
363, 305
363.5, 317
364, 333
364.5, 315
365, 320
365.5, 312
366, 311
366.5, 243
367, 316
367.5, 316
368, 326
368.5, 328
369, 345
369.5, 322
370, 318
370.5, 329
371, 333
371.5, 324
372, 325
372.5, 225
373, 329
373.5, 329
374, 341
374.5, 310
375, 321
375.5, 326
376, 277
376.5, 321
377, 332
377.5, 321
378, 205
378.5, 344
379, 331
379.5, 335
380, 328
380.5, 335
381, 227
381.5, 222
382, 225
382.5, 220
383, 215
383.5, 245
384, 226
384.5, 224
385, 226
385.5, 226
386, 216
386.5, 224
387, 215
387.5, 206
388, 229
388.5, 220
389, 213
389.5, 227
390, 210
390.5, 231
391, 214
391.5, 219
392, 219
392.5, 227
393, 238
393.5, 215
394, 217
394.5, 222
395, 208
395.5, 210
396, 218
396.5, 227
397, 222
397.5, 222
398, 216
398.5, 217
399, 204
399.5, 206
400, 211
