Iteration, Packets dropped
0, 221
1, 27
2, 218
3, 204
4, 270
5, 33
6, 257
7, 222
8, 265
9, 210
10, 249
11, 224
12, 210
13, 230
14, 219
15, 224
16, 205
17, 213
18, 234
19, 239
20, 237
21, 223
22, 220
23, 237
24, 236
25, 258
26, 218
27, 258
28, 252
29, 266
30, 253
31, 259
32, 267
33, 237
34, 259
35, 239
36, 277
37, 245
38, 264
39, 240
40, 265
41, 34
42, 265
43, 251
44, 262
45, 272
46, 278
47, 297
48, 305
49, 308
50, 262
51, 318
52, 298
53, 297
54, 318
55, 284
56, 320
57, 314
58, 283
59, 343
60, 308
61, 296
62, 321
63, 320
64, 332
65, 354
66, 256
67, 340
68, 347
69, 246
70, 384
71, 384
72, 319
73, 371
74, 351
75, 379
76, 370
77, 370
78, 390
79, 298
80, 376
81, 413
82, 412
83, 409
84, 322
85, 407
86, 348
87, 453
88, 437
89, 305
90, 446
91, 443
92, 468
93, 450
94, 449
95, 434
96, 460
97, 357
98, 482
99, 477
100, 473
101, 493
102, 258
103, 477
104, 477
105, 473
106, 486
107, 513
108, 483
109, 485
110, 485
111, 467
112, 482
113, 481
114, 487
115, 482
116, 501
117, 495
118, 485
119, 493
120, 507
121, 507
122, 508
123, 483
124, 481
125, 458
126, 503
127, 475
128, 471
129, 511
130, 509
131, 501
132, 343
133, 521
134, 505
135, 508
136, 496
137, 495
138, 528
139, 484
140, 332
141, 498
142, 468
143, 487
144, 501
145, 494
146, 497
147, 484
148, 476
149, 530
150, 328
151, 342
152, 496
153, 480
154, 259
155, 241
156, 523
157, 253
158, 516
159, 248
160, 503
161, 265
162, 258
163, 271
164, 259
165, 256
166, 257
167, 251
168, 256
169, 266
170, 272
171, 247
172, 253
173, 277
174, 246
175, 240
176, 259
177, 246
178, 266
179, 251
180, 269
181, 260
182, 272
183, 251
184, 270
185, 255
186, 252
187, 251
188, 259
189, 239
190, 250
191, 250
192, 263
193, 262
194, 248
195, 256
196, 273
197, 265
198, 249
199, 257
